STT	BaiToan	Code_C	"?? BÀI T?P 1
Vi?t ch??ng trình tính th? tích hình chóp c?t ??u có di?n tích ?áy l?n S, di?n tích ?áy nh? s và chi?u cao h. Th? tích hình chóp c?t ??u ???c xác ??nh b?i công th?c:
V=13?h?(S+Ss+s)V = \frac{1}{3} * h * (S + \sqrt{Ss} + s)V=31?h?(S+Ss+s) 
(di?n gi?i công th?c: m?t ph?n ba * chi?u cao h * t?ng di?n tích ?áy l?n, di?n tích ?áy nh? và c?n b?c hai tích di?n tích ?áy l?n và ?áy nh?)
________________________________________
Mô t? d? li?u testcase:
•	Input: G?m T+1 dòng; dòng ??u tiên là s? l??ng testcase T; T dòng ti?p theo, m?i dòng g?m giá tr? th?c S, s và h t??ng ?ng d? li?u c?a m?t testcase.
•	Output: K?t qu? c?a m?i testcase trên m?t hàng, in 02 ch? s? sau d?u ph?y. N?u không tính ???c thì in ra ND.
Minh h?a d? li?u testcase:
Input:
1
2.0 2.0 1.5
Output:
3.00
? Code C:
#include <stdio.h>
#include <math.h>
int main() {
    int T;
    scanf(""%d"", &T);
    while (T--) {
        double S, s, h;
        if (scanf(""%lf %lf %lf"", &S, &s, &h) != 3 || S < 0 || s < 0 || h < 0) {
            printf(""ND\n"");
            continue;
        }
        double V = (1.0 / 3.0) * h * (S + sqrt(S * s) + s);
        printf(""%.2lf\n"", V);
  }
    return 0;
}
________________________________________
?? BÀI T?P 2
Cho m?t ma tr?n các s? nguyên A kích th??c m×n. Ng??i ta th?c hi?n duy?t các hàng và c?t ngoài cùng t? m?t v? trí cho tr??c theo m?t chi?u nh?t ??nh. D?c theo ???ng duy?t, li?t kê t?t c? các s? nguyên t? theo th? t? duy?t.
V? trí ban ??u t?i góc trên bên ph?i (hàng 0, c?t n?1) và duy?t theo chi?u ng??c chi?u kim ??ng h?.
Mô t? d? li?u testcase:
•	Input: Dòng ??u tiên là s? l??ng b? testcase T; T*(m+1) dòng ti?p theo là d? li?u các b? testcase; m?i b? testcase g?m m+1 hàng, trong ?ó hàng ??u tiên là giá tr? m và n, m hàng ti?p theo, m?i hàng g?m n ph?n t? t??ng ?ng v?i hàng c?a ma tr?n.
•	Output: K?t qu? m?i testcase trên m?t hàng.
Minh h?a d? li?u testcase:
Input:
1
3 3
1 2 3
4 5 6
7 8 9
Output:
327
? Code C:
#include <stdio.h>
int main() {
    int T;
    scanf(""%d"", &T);
    while (T--) {
        int m, n;
        scanf(""%d %d"", &m, &n);
        int A[100][100]; 
        for (int i = 0; i < m; ++i)
            for (int j = 0; j < n; ++j)
                scanf(""%d"", &A[i][j]);
        for (int i = 0; i < m; ++i)
            printf(""%d"", A[i][n - 1]);
        for (int j = n - 2; j >= 0; --j)
            printf(""%d"", A[m - 1][j]);
        for (int j = 1; j < n - 1; ++j)
            printf(""%d"", A[0][j]);
        printf(""\n"");
    }
    return 0;
}
?? BÀI T?P 3
Tính di?n tích hình ch? nh?t
Yêu c?u:
1.	Vi?t ch??ng trình tính di?n tích hình ch? nh?t v?i các c?nh a, b.
2.	Ch??ng trình c?n x? lý nhi?u test case.
3.	Input:
o	Dòng ??u tiên là s? M - s? l??ng test case.
o	M dòng ti?p theo, m?i dòng ch?a hai giá tr? a, b.
4.	Output:
o	K?t qu? c?a m?i test case trên m?t dòng. N?u không tính ???c (a ho?c b âm) thì in ""MD"".
5.	Ví d?:
o	Input:
2
1 1
2 3
o	Output:
1.00
6.00
? Code C:
#include <stdio.h>

int main(void) {
    int t;
    scanf(""%d"", &t);
    while (t--) {
        float a, b;
        scanf(""%f %f"", &a, &b);
        if (a < 0 || b < 0) {
            printf(""MD\n"");
        }
        else {
            printf(""%.2f\n"", a * b);
        }
    }
    return 0;
}
"									
1	Tính chu vi và di?n tích hình ch? nh?t.	"#include <stdio.h>
int main() {
    float dai, rong;
    scanf(""%f%f"", &dai, &rong);
    printf(""Chu vi: %.2f\n"", 2 * (dai + rong));
    printf(""Dien tich: %.2f\n"", dai * rong);
    return 0;
}
"										
2	Tính di?n tích hình tam giác khi bi?t 3 c?nh.	"#include <stdio.h>
#include <math.h>

int main() {
    float a, b, c;
    scanf(""%f%f%f"", &a, &b, &c);
    if (a + b > c && a + c > b && b + c > a) {
        float p = (a + b + c) / 2;
        float s = sqrt(p * (p - a) * (p - b) * (p - c));
        printf(""Dien tich: %.2f\n"", s);
    } else {
        printf(""Ba canh khong tao thanh tam giac\n"");
    }
    return 0;
}
"										
3	Tính giai th?a c?a m?t s? nguyên n.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    if (n < 0) {
        printf(""Khong tinh duoc giai thua\n"");
        return 0;
    }
    long long gt = 1;
    for (int i = 2; i <= n; ++i)
        gt *= i;
    printf(""Giai thua: %lld\n"", gt);
    return 0;
}
"										
4	Tính t?ng các ch? s? c?a m?t s? nguyên.	"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"", &n);
    int sum = 0;
    int temp = n < 0 ? -n : n;
    while (temp > 0) {
        sum += temp % 10;
        temp /= 10;
    }
    printf(""Tong cac chu so: %d\n"", sum);
    return 0;
}
"										
5	??i nhi?t ?? t? ?? C sang ?? F và ng??c l?i.	"#include <stdio.h>

int main() {
    float temp;
    char unit;
    printf(""Nh?p nhi?t ?? và ??n v? (C ho?c F): "");
    scanf(""%f %c"", &temp, &unit);
    if (unit == 'C' || unit == 'c') {
        printf(""%.2f°C = %.2f°F\n"", temp, (temp * 9 / 5) + 32);
    } else if (unit == 'F' || unit == 'f') {
        printf(""%.2f°F = %.2f°C\n"", temp, (temp - 32) * 5 / 9);
    } else {
        printf(""??n v? không h?p l?.\n"");
    }
    return 0;
}"										
6	"Cho m?t s? nguyên N, in ra s? ??o ng??c ch? s? c?a s? ?ã cho."	"#include <stdio.h>

int main() {
    int n, reversed = 0;
    scanf(""%d"", &n);
    while (n != 0) {
        reversed = reversed * 10 + n % 10;
        n /= 10;
    }
    printf(""S? ??o ng??c: %d\n"", reversed);
    return 0;
}"										
7	Ki?m tra m?t s? có ph?i là s? nguyên t?.	"#include <stdio.h>

int main() {
    int n, isPrime = 1;
    scanf(""%d"", &n);
    if (n <= 1) {
        isPrime = 0;
    } else {
        for (int i = 2; i * i <= n; i++) {
            if (n % i == 0) {
                isPrime = 0;
                break;
            }
        }
    }
    printf(isPrime ? ""%d là s? nguyên t?.\n"" : ""%d không là s? nguyên t?.\n"", n);
    return 0;
}"										
8	Tính t?ng các s? l? t? 1 ??n n.	"#include <stdio.h>

int main() {
    int n, sum = 0;
    scanf(""%d"", &n);
    for (int i = 1; i <= n; i += 2) {
        sum += i;
    }
    printf(""T?ng các s? l? t? 1 ??n %d: %d\n"", n, sum);
    return 0;
}"										
9	Tính t?ng các s? ch?n t? 1 ??n n.	"#include <stdio.h>

int main() {
    int n, sum = 0;
    scanf(""%d"", &n);
    for (int i = 2; i <= n; i += 2) {
        sum += i;
    }
    printf(""T?ng các s? ch?n t? 1 ??n %d: %d\n"", n, sum);
    return 0;
}"										
10	Tính t?ng c?a dãy s?: 1 + 1/2 + 1/3 + ... + 1/n.	"#include <stdio.h>

int main() {
    int n;
    float sum = 0;
    scanf(""%d"", &n);
    for (int i = 1; i <= n; i++) {
        sum += 1.0 / i;
    }
    printf(""T?ng dãy s?: %.2f\n"", sum);
    return 0;
}"										
